編號,類別,時間,標題,內容
1315,鴻海新聞,4/10/2016 18:55,鴻海攜手夏普拚OLED 同業競爭大,日前傳出鴻海攜手夏普，將在日本大阪(土界)市10代面板廠，新建有機發光二極體（OLED）產線，盼2018年量產。由於蘋果其他面板供應商已有OLED產線，鴻夏聯手仍有不小壓力。蘋果面板供應商南韓樂金顯示器（LGD）已量產OLED面板、日本官民基金主導的日本顯示器公司（JDI）關係企業JOLED也有OLED面板產線。夏普雖有先進的面板技術，但面對已投入OLED的競爭對手，一個是全球最大面板廠南韓LGD，一個是同為日廠，但有日本政府在背後支持的JDI。夏普目前才要新建OLED面板廠，業界認為，只有靠鴻海的成功管理經驗改造夏普，才能勝券在握。雖然夏普面板技術世界一流，無人置疑，傳出預計量產OLED面板時點為2018年，好趕上傳聞中的蘋果下一代手機推出時間點，但財務嚴重虧損的夏普，不但要靠鴻海集團的成功經驗脫胎換骨、擺脫虧損，還要在既有的先進技術基礎上，更進一步推出新產品，後續挑戰不可謂不大。另一方面，鴻海集團旗下面板廠群創在2010年3月18日合併奇美電子、統寶光電，除接手統寶的低溫多晶矽（LTPS）面板廠，並已著手利用適合當OLED背板的LTPS面板，投入OLED面板研發多年，並小量生產。此次鴻海集團與夏普聯手後，在OLED面板的潛在實力，有了更進一步的發展空間，傳出將在日本(土界)巿蓋OLED面板產線，也就不令人意外。除群創之外，台灣另一家面板大廠友達也已投入OLED面板生產，現階段鎖定智慧手錶面板。
1316,鴻海新聞,4/11/2016 10:05,鴻海後市 外資：緊盯毛利變化,鴻海首季營收符合市場預期，摩根士丹利證券預期，蘋果iPhone SE接下來將以每月200萬支速度拉貨，不過，整體iPhone 6S、6S plus本季出貨量仍在下滑中，加上非蘋陣營產品處相對淡季，是隱憂所在。鴻海可能在月底公布第1季季報，法人指出，當產品經濟規模下滑、產品組合略有改變，毛利率表現為何，將是接下來市場首要觀察指標。
1317,鴻海新聞,4/11/2016 15:34,傳攜手鴻海 印度製造手機 華為：沒聽過,外電媒體盛傳，華為將攜手鴻海，前進印度市場，設計或生產手機。華為輪值CEO徐直軍說，沒聽過。華為11日在深圳舉行全球分析師大會，有媒體提問，市場盛傳華為將與富士康（鴻海）進軍印度，作手機研發及製造。徐直軍表示，沒有聽說要跟富士康一起進軍印度，作手機研發及製造，也會到內部詢問一下消息哪裡來的。根據外電報導，印度資訊通信技術部部長Ravi Shankar Prasad透露，華為承諾探尋在印度製造手機的可能性，同時也正與富士康商討合作事宜。
1318,鴻海新聞,4/11/2016 17:37,出口連14黑 學者建議台灣快練功打底,出口連14黑，追平金融海嘯時紀錄，學者直言目前全球都有病，即使台灣個別戴上口罩也沒用，建議政府及企業應著眼練功打底，同時，進行結構轉型，滿足最終使用者需求。財政部公布3月出口為227.2億美元，年衰退11.4%，連續14個月負成長，不僅追平金融海嘯時紀錄，更是連續10個月雙位數衰退。台灣經濟研究院景氣預測中心主任孫明德表示，台灣近 2月出口衰退幅度都僵在11%、12%附近，對比競爭對手國南韓3月是衰退8.2%，「台灣3月表現蠻可惜的」。孫明德表示，就PMI（採購經理人指數）等近期各項數據來看，本來期待3月會有好消息，但由於國際情勢呈現L型、一直處在谷底，因此台灣出口仍未有起色，現在只能期待第2季衰退幅度可以縮小，第3季轉正。對台灣經濟問題，台灣大學經濟系教授陳添枝形容患上慢性病，孫明德直言，不只台灣有結構性問題，「全世界都有病，台灣即使個別戴口罩也沒有用」。孫明德表示，受到中國大陸經濟成長放緩，需求減少，且歐美無法填補這塊時，不管是政府還是企業都急不得，現在拓展外銷只是事倍功半。孫明德強調，目前正是企業練功打底的時候，如鴻海併購夏普，要讓夏普 2年轉盈就是企業練功的最佳案例。中華經濟研究院第一所所長劉孟俊表示，出口以美元計價衰退幅度仍有 2位數，不過，改以新台幣計價後，衰退幅度則縮減至7.3%，對GDP數字上有幫助。劉孟俊分析，出口長期欠佳，主因台灣產業過度仰賴代工模式及受長鞭效應所累，也就是，台灣產業與最終使用者的接觸不夠多，且這塊剛好是台灣過去較少談論到的。為增加與最終使用者的接觸，劉孟俊表示，其他市場現在都在談最終使用者潛能，台灣不應該缺席，建議可從系統創新、品牌兩方面著手。對此，劉孟俊呼籲，貿易商、外貿協會等應掌握消費者模式以利商機的掌握，他並點名，全球年輕族群偏向網路消費；其次、從中國大陸到東南亞，各國都市化商機興起，第三、永續綠色消費是台資企業可發展的3大商機。
1319,鴻海新聞,4/13/2016 9:06,鴻海子公司砸逾2億港元入股千里眼,鴻海子公司以每股0.55港元向Fast Upgrade購買千里眼控股4億1910萬股。彭博報導，根據鴻海提交給台灣證交所的聲明，子公司以2億4030萬港元收購千里眼50.07%股份。
1320,鴻海新聞,4/11/2016 19:37,面板事業添購設備 鴻海投資5.8億元,鴻海（2317）晚間公告，取得Tokyo Electron Limited機器設備，總金額為5.86億元。據悉，此為鴻海集團旗下面板廠群創購買面板機器設備而做的投資。鴻海公告，此交易決定方式為議價，價格決定的參考依據為按市場行情，依公司核定權限辦理。據資料顯示，Tokyo Electron Limited為日本的設備商，公司總部位於東京都港區赤?。TEL是東京證券交易所一部上市公司，主要產品為半導體蝕刻設備和用來製造平板顯示器液晶的設備。
1321,鴻海新聞,4/11/2016 22:32,被鴻海併購後 夏普明年招募新人多一倍,剛被台灣鴻海收購的夏普今天公布明年度社會新鮮人的招募計畫，含大學畢業及高中畢業生，新年度打算招募290位新人，接近今年度(151人)的近一倍。因業績惡化，今年進夏普工作的大學畢業生為121人，明年度將增加至200人，含技術部門120人、事務部門80人；高中畢業生多2倍，將招募90人。2015年9月夏普在日本國內讓3200名員工優惠退休，年輕員工也陸續離職，造成人材不足，日媒指出，為順利重建，夏普決多聘用一點新鮮人
1322,鴻海新聞,4/12/2016 9:45,樺漢坐擁商機 里昂初評喊買,里昂證券初次將鴻海集團旗下樺漢納入投資範圍，給予「買進」投資評等，並指出，樺漢坐擁物聯網等幾大商機，是工業電腦（IPC）領域竄起的新星（Rising industrial PC star），推測未來12個月合理股價520元。里昂證券認為，樺漢挾鴻海集團強勁製造與採購能力等資源，成本比競爭對手低，等於扮演IPC製造的中央廚房，其優勢與營運模式替全球工業電腦領域帶來衝擊。
1323,鴻海新聞,4/12/2016 11:00,多頭三路並進 台股一度攻上8600,雖然美股震盪收黑，但亞股早盤表現普遍走揚，台股也在開盤一度測低後隨即拉抬向上，盤中一度衝上8600點，多頭力道分布平均，包括傳產、電子、金融都有點火個股。截至10時50分，加權股價指數上漲10點、為8567點、成交值新台幣393億元，TESLA概念股F-貿聯、和大再度上攻，人氣股宏達電、鴻海都有買盤進駐，金融股也有富邦金、國泰金當骨幹，不過中小型股表現略遜一籌，櫃買指數盤中由紅翻黑，多頭也有隱憂。分析師表示，國安基金今天召開委員會，普遍預估不再授權護盤，多頭士氣恐怕受到影響，加上美國即將進入超級財報週，市場消息面充斥下震盪恐會加劇。統一證券表示，台股不但短期5日、10日均線及月線走空，技術指標KD也由空方交叉，到雙雙跌落50之下的空方格局，在8600點之上頭部壓力已經形成，外資現貨已連續5日轉為賣超，週線連3黑轉空訊號明顯，維持台股弱勢盤整格局看法，建議保守以對。
1324,鴻海新聞,4/12/2016 11:46,鴻海投資效應 夏普明年招募新人多1倍,鴻海投資夏普簽約後，夏普計畫明年2017年度增加畢業生招募人數到290人，比今年度規劃的151人增加近 1倍。夏普11日在官網上公告2017年度新畢業生採用計畫，預估招募290人，其中大學和高等專門學校畢業生200人，比今年2016年度121人增加，技術科系人員120人，比今年2016年度70人增加；商務科系80人，比今年51人增加。夏普也計畫在2017年度招募高中、短期大學、專門學校等畢業生新進人員90人，比今年度30人增加許多。夏普表示，物聯網（IoT）時代機器人技術將邁向成長關鍵點，因應新商品服務趨勢，希望招募具有獨特性和挑戰精神的多樣性人才。鴻海和夏普2日下午在日本大阪(土界)市10代廠SDP（Sakai Display Product Corporation）完成簽約儀式，這項轟動台日以及全球的世紀投資案，終於開花結果。 共計鴻海集團與郭台銘個人投資取得夏普66%普通股股權，此次總投資金額約3888億日圓。鴻海投資夏普簽約後，夏普立即展開新人新政，夏普5日公告新設財會部門外，與鴻海董事長郭台銘關係密切的SDP主管，也進入夏普經營高層。原任日本大阪(土界)市10代廠SDP（Sakai DisplayProducts Corporation）會長（董事長）野村勝明，6日起新任夏普集團總部副社長執行役員（執行副總裁）一職，主掌集團會計和財務部門，同時續兼任SDP董事長一職。此外，SDP社長（總經理）桶谷大亥任命為夏普集團總部的常務執行役員（主管），擔任夏普面板裝置公司社長（總經理）一職。
1325,鴻海新聞,4/12/2016 11:49,郭董的顯示器研發重鎮！SDP啟動徵才,日本應屆畢業生搶人大戰已經開打！除夏普本社積極徵才，由鴻海（2317）董事長郭台銘個人投資的夏普?（土界）工廠（SDP）也公告，2017會計年度將招募社會新鮮人約31-35人，其中又以顯示器技術研發和業務銷售為重點。據SDP官網公告，目前SDP員工總數約1500人，這意味著SDP廠將新聘的新進員工約占員工總數2.3%。據悉，SDP徵才條件中，其中30人為技術類人力需求，工作範疇包括面板設計、電路設計、機械設計、光學設計、製程開發、材料開發、產品規畫等，顯示SDP現階段對工程研發領域可謂求才若渴。SDP業務員則計畫徵才約5人，工作範疇涵蓋銷售策劃、產品規劃、材料採購、生產計劃、公共關係和廣告、會計等。SDP廠更祭出了碩士起薪23.3萬日圓、大學畢業生20.9萬日圓、技術大學畢業生18.4萬日圓薪資，並有通勤、加班、津貼、家庭、單身住宿等津貼，還有每年一次的調薪機會，希望吸引社會新鮮人青睞。SDP廠將自4月19日起開始為舉行4場招募說明會，SDP高層不僅將親自說明公司現況與招募職位詳細內容，也將帶參加的大學生參觀SDP廠區。
1326,鴻海新聞,4/12/2016 12:00,新政委施俊吉 要阻止中嘉併購案,「不會用藍綠的立場去干擾媒體，未來財團用金錢買斷媒體的事件也不會再發生。」準行政院政務委員施俊吉12日首度提出承諾。他表示，蔡英文政府與民進黨團會合力推動《反媒體壟斷法》，具爭議的中嘉案也已要求經濟部在政權輪替之前凍結，可望在新法推出後阻止中嘉併購案。準政務委員施俊吉已獲新閣揆林全邀請，將主掌財政、金融、對外談判、通訊傳播等工作，12日接受《蔻蔻早餐》主持人周玉蔻專訪時，針對中嘉案一事發表看法。他表示，就任前就會接手《反媒體壟斷法》，民進黨版的法案13日就會定案，希望可以在8月1日NCC改組前通過法案，便可望擋下中嘉併購案。施俊吉指出，法案通過後，金融業者把媒體系統壟斷的情況就不會發生，未來將採取嚴格的方式懲罰業者，但不會溯及既往，因為如果溯及既往，台灣的媒體幾乎都得解散了。他也直言，目前NCC（通訊傳播委員會）的作風是「以獨立之名行使罪惡之事」，並承諾新政府的NCC委員不會傾向財團，秉持獨立委員會的精神。施俊吉進一步分析財團入主媒體的原因。第一，很多大企業、財團都很害怕發生像頂新這樣形象一夕崩盤的事件，由於先前新聞媒體不斷報導頂新案，對頂新的形象造成重大衝擊，所以像是富邦、遠東集團、郭台銘、王雪紅都買下媒體的股權，以保護自己的企業。第二，財團希望擁有媒體後，可以進而改變政府的施政。第三，財團擁有對媒體的影響力，可能有利於在中國的營運與便利性。第四，有線電視是項賺錢的產業，可以為集團帶來收益。中嘉網路是國內最大的有線電視系統，遠傳電信與摩根士丹利合作，以認購公司債的方式迴避廣電三法的黨政軍條款入主中嘉網路，目前公平交易委員會、NCC已接連通過遠傳併購中嘉案一事。【更多精采內容，詳見】
1327,鴻海新聞,4/13/2016 11:29,鴻海將有「千里眼」 布局網路視訊監控,鴻海（2317）今公布子公司將斥資2.4億港元、約新台幣10.14億元，公開收購香港千里眼控股（TELEEYE HOLDINGS LIMITED）50.07%股權，布局網路視訊監控軟硬體應用鴻海表示，此次公開收購主要是發展新事業。將依香港法規規定，待證監會核准後啟動公開收購。今日鴻海股價開紅走揚，盤中升逾1%至83.8元價位。香港千里眼控股（8051.HK）今則停牌，值得注意的是，千里眼控股昨日股價已先行飆高，12日在港股盤中急升逾18.37%，停牌時收在0.58港元。鴻海今代子公司Foxconn（Far East）Limited公告，將以每單位價格0.55港元取得TELEEYE HOLDINGS LIMITED普通股4億1906萬100股，交易總金額達2億4033萬3055港元，持股比例50.07%。據了解，千里眼科技由香港城市大學及具備數位經驗的科研人員於1994年成立，主要開發、銷售及推廣一系列以圖像及語音技術所研製的創新產品。擁有多重串流高解析視訊編碼技術、多重串流視訊編碼技術、以動態IP連接至互網網的視訊監控技術、網路閉路電視監控系統等。千里眼的產品包括網路IP高解析數位視訊錄影機、高解析閉路電視攝影機、同軸電纜模擬高解析攝影機、模擬高解析數位視訊錄影機、保安監控應用軟體等。千里眼截至去年12月底的半年報顯示，集團自結營收約1446.3萬港元，但稅後虧損約207.9萬港元，年減約59%。唯千里眼控股董事會認為，集團表現已因有效削減成本措施有所改善。目前千里眼的產品已打入包括香港、新加坡、中東及歐洲、非洲各國，從營收比重觀之，去年下半年，亞洲市場占千里眼控股營收比重約71%位居大宗，其次則為歐洲占比約16%、非洲占比約10%。公司表示，未來仍會積極開拓海外市場。
1328,鴻海新聞,4/12/2016 18:51,連續2年 龍巖獲公司治理評鑑前5%,證券交易所公布第2屆公司治理評鑑結果，受評公司共有上市公司824家及上櫃公司623家，共計1447家，參與評鑑的企業數量較去年1393間增加許多，在競爭環境中，龍巖不僅於本屆上市櫃公司治理評鑑中獲得名列前5%的優良企業，更是少數連續兩年蟬聯上櫃排名前5％的標竿企業。眾多的優秀企業之中僅20家上櫃公司連續獲獎，龍巖與鴻海、台積電、台達電等大型上市企業集團獲得同等的肯定。公司治理是指一種指導及管理企業的機制，以落實企業經營人的責任，並保障股東的合法權益及兼顧其他利害關係人的利益。龍巖表示，良好的公司治理制度是對客戶、股東、員工應做到的最基本承諾，龍巖始終秉持專業、誠信、慈悲核心價值落實公司治理，用高於法令規範的標準來要求自己，落實執行各項的公司治理制度，即時且正確的資訊揭露。
1329,鴻海新聞,4/12/2016 20:13,鄧振中率團赴巴西 估接單逾8百萬美元,經濟部長鄧振中率團前往巴西，經濟部今天表示，這次訪問團邀請台廠與巴西廠商舉辦72場洽談會，估計後續潛在接單金額約840萬美元。鄧振中8日率領經濟部赴巴西及巴拉圭經貿投資訪問團啟程，期間將參加第12屆台巴西經濟聯席會議，預計16日返台。經濟部表示，這次訪問團安排隨團企業與巴西廠商進行一對一貿易洽談，針對團員的產品特性，如工業自動化產品、鋼品、電機產品、環保隔熱塗料、紡織品及LED照明燈等，邀請相關巴西廠商進行商機媒合，共舉辦72場洽談，預計後續潛在接單金額約840萬美元。儘管近年來巴西經濟狀況受到全球景氣不佳、油價及原物料等價格下跌等負面因素影響而呈現衰退，不過經濟部認為，長期而言，巴西市場仍具相當發展潛力。經濟部舉例，鴻海(富士康Foxconn)及仁寶(Compal)等公司，在巴西都有相當大的投資，且因提供許多工作機會，也深受當地政府及民眾的重視，相關產品在市場上廣受好評。經濟部認為，台灣業者可藉市場不景氣時機，適時投入資源拓銷或尋找合作對象，未來巴西經濟復甦時，有助加速擴大市場占有率。根據經濟部資料顯示，去年我國出口至巴西金額僅11.6億美元，僅占總出口值0.4%，顯示台廠在巴西市場仍有很大的開拓空間。
1330,鴻海新聞,4/13/2016 1:55,三星LGD急了 牽手抗鴻夏,南韓三星顯示器（SD）與樂金顯示器（LGD）兩大死對頭，首度聯手投資主動有機發光二極體（AMOLED）的新創公司「Kyulux」，迎戰收購夏普的鴻海集團，顯示鴻夏聯手，已撼動南韓兩大面板巨擘。朝鮮日報報導，SD與LGD均宣布投資入股Kyulux，預估兩家投資金額各3億到4億日圓（約新台幣逾1億元）。三星、LGD雖然同為南韓廠商，但過去彼此競爭，在面板事業攜手投資為史上首見，促成雙方攜手的原因，就是為了對抗收購夏普的鴻海。成立於2015年的Kyulux，獲得日本九州大學授權發展OLED的材料與專利。Kyulux也已從日本顯示器公司（JDI）、JOLED及風險基金等日商籌得15億日圓資金。OLED面板使用可自行發光的有機材料，與液晶面板相比，呈現更鮮明的影像，Kyulux擁有可提高該有機材料性能及壽命的技術。
1331,鴻海新聞,4/13/2016 12:45,外資買不停 樺漢股價再創新高,樺漢科技在有鴻海集團奧援下，外資看好今年獲利持續噴發，自3月以來外資買超超過4300張，股價也一路走高，今天最高達463.5元，再創歷史新高。樺漢今年首季合併營收新台幣31.18億元、年增30.67%，創單季歷史次高，分析師認為，鴻海集團具備可觀的工廠自動化需求，未來為樺漢帶來的效益可期，加上鴻海與夏普正式結盟，樺漢亦可望成為工業物聯網及自動化的最大受惠者，後市展望持續看好。亞系外資也在最新出爐的報告中，首次將樺漢納入追蹤個股名單，給予「買進」評等，目標價上看520元。亞系外資表示，樺漢是台灣第2大的工業電腦(IPC)業者，看好樺漢未來受惠物聯網(IOT)以及快速成長的ODM訂單，預估樺漢今年至後年營收分別成長31%、30%及26%；同時預估今年至後年每股盈餘年複合成長率達33%，決定給予樺漢「買進」評等，目標價上看520元，預估股價投報率30%。法人看好樺漢今年自體成長仍可維持3成水準，加上與Kontron子公司策略結盟的效益可望陸續顯現，預估今年營收年增率可望上看 5成。
1332,鴻海新聞,4/13/2016 14:04,台指期漲142點優於現貨 逆價差收斂,"油價攀今（2016）年新高，帶動美股上漲，台指期受到激勵也在今（13 ）日開盤衝高，盤中價差明顯收斂；台指期終場收盤為8,638點，上漲142點，成交量145,371口，期現貨逆價差收斂至14.08點。台指期在9點至10點期間屢見大量拉升走勢，價差在9點10分左右開始急速收斂，接近11點30分過後接近價平，不過，10點過後進入高檔區間，多空雙方開始觀望，成交量未再明顯擴增，直到1點過後才又開始多空對決，多頭企圖往8,650點攻堅。今日電子、金融與非金電的權值股全面起漲，電子及金融股漲幅超過1%、水泥與鋼鐵為主的原物料股漲幅超過2.5%，金融期指一路攀高，電子期指衝上345點左右即維持橫盤，非金電期指衝高後也在10,850點附近起伏，類股期指的價差也都大幅收斂。盤勢急漲，個股期指交易量較大者仍集中在宏達電（2498）、可成（2474）、晶電（2448）、鴻海（2317）及台積電（2330），中鋼（2002）與富邦（2881）金等近月合約成交量也略有增加。"
1333,鴻海新聞,4/13/2016 14:33,台股類股齊揚 收復年線,台股無畏國安基金退場，類股齊揚，終場大漲120點，收在8652點，收復年線8637點。法人表示，全球經濟仍有榮景可期，台股半導體基本面築底，進入回升階段。台股今開高走強，台積電、大立光等電子權值股點火，蘋概股堅挺，傳產助攻，台股大漲逾百點，不僅收復8600點大關，並站上年線8637點。尾盤電金續攻，類股齊揚，台股大漲120點，攻上8650整數關卡。終場台股加權股價指數收在8652.08點，上漲120.9點，漲幅1.42%，成交金額新台幣901.43億元。電子股漲1.5%，金融股漲1.2%。主要電子權值股領軍強漲，蘋果概念概扮演上攻要角，台積電終場收在161.5元，漲1.8%。鴻海收在83.7元，漲2%。股王大立光收2405元，漲1.2%。日月光（2311）收在35.05元，漲1.3%。可成收266元，漲3.3%。和碩收在73.7元，漲4.9%。聯發科收225.5元，漲1.5%。友達收在9.86元，漲1.7%，群創收在11.2元，漲1.8%。宏達電12日正式發表年度旗艦機「HTC 10」，並宣布台灣將於4月15日起正式開賣，宏達電收在83.1元，漲2.3%。金控股走勢堅挺，國泰金收在36.35元，漲1.5%，富邦金收在40元，漲1.3%，中信金收16.3元，漲0.3%。兆豐金收22.8元，漲0.8%。傳產股表現亮眼，紡織股漲1.2%，塑膠漲1%，鋼鐵大漲3%，水泥大漲3%，汽車漲2.3%。台新高股息平衡基金經理人劉宇衡表示，3月份全球製造業採購經理人（PMI）指數持續保持在擴張以上，美國ISM數字持續改善，歐元地區經濟表現相對強勁，歐洲車市成長優於美國車市，中國大陸經濟調結構中，PMI也開始回升，全球經濟仍有榮景可期。劉宇衡指出，美、中、歐三大經濟體在貨幣政策各不同調，匯率與原物料發展常出於市場意料之外，投資人需以基本面為依歸、抱持長期投資心態。從台股族群來看，劉宇衡表示，目前台股半導體基本面築底進入回升階段，可留意周邊產業長期競爭力及穩定配息能力，以及汽車產業相關長期穩定配息個股，再搭配股美國經濟受惠族群。
1334,鴻海新聞,4/14/2016 3:00,鴻海斥資10億 買千里眼,鴻海順利入股夏普之後，併購腳步不停歇，昨（13）日公告子公司斥資港幣2.4億元（約新台幣10億元），取得在香港上市的網路攝影機（IP Cam）公司千里眼控股逾五成股權，擴大物聯網、工業4.0等應用領域。 業界指出，隨著物聯網、智慧家庭等產業趨勢興起，IP Cam應用不斷擴大，堪稱物聯網、工業4.0相關應用的「靈魂之窗」。藉由透過整合串連各種系統或資訊，讓監控影像發展出不同的應用模式，商機龐大。例如藉由監控影像進一步智慧分析，提供影像管理、搜尋的功能，以辨識人臉、車牌，計算人數、移動偵測及逗留偵測等，衍生商機無限，鴻海藉由入股千里眼控股，在相關領域積極卡位。此外，遠距監控管理系統可應用在工業領域，甚至未來也可應用在機器人上，未來鴻海可望結合千里眼控股在IP Cam的能量，共同開發更多新應用。鴻海昨代子公司Foxconn（Far East）Limited公告，將以每單位港幣0.55元，取得千里眼控股普通股4.19億股，交易總金額港幣2.4億元，持股比例50.07%。千里眼控股昨日因相關併購訊息而停牌，該公司12日收盤價為每股港幣0.58元，鴻海此次入股價格與12日收盤價相較，折價約6.7%。鴻海表示，此次公開收購主要是發展新事業，將依香港法規規定，待證監會核准後，啟動公開收購。千里眼控股由香港城市大學及多位技術人員在1994年成立，專門開發、銷售及推廣一系列以高階訊號處理，及語音技術所研製的創新、世界級遠距監控管理系的供應商，因此吸引鴻海投資。據悉，千里眼監控方案應用於銀行、物流、公共環境保全等領域。
1335,鴻海新聞,4/14/2016 16:42,夏普力推新手機 也是一台人型機器人,夏普（Sharp）今天推出具備機器人功能的新手機，可語音操控，有臉部辨識功能，還可透過學習提升自然溝通能力。看來鴻海和郭台銘投資夏普，真是買對了。夏普今天在官網上公告，推出易攜帶小型化人型機器人模樣的新手機RoBoHoN，預計在5月26日開賣，每月產能可到5000台。夏普表示，全球首款機器人模樣的新手機，是與日本東京大學先進科學技術研究中心專案計畫助理教授、同時是機器人研發公司Robo Garage執行長高橋智隆合作。根據夏普網站資料，這款人型機器人手機可以用兩條腿行走，不僅可以透過語音操控，可以透過臉部辨識功能，分辨使用者，RoBoHoN除了具備通話、電子郵件、照相功能、GPS導航功能外，也內建高解析度HD（1280 x 720）的雷射投影裝置，使用者可以投射照片、視訊或是地圖到螢幕或牆壁上。使用者也可以下載專屬的應用軟體Apps，讓RoBoHoN進一步具備新的服務和功能，RoBoHoN可以透過學習使用者的設定檔案和使用狀況，提升與使用者自然溝通的能力。這款人型機器人手機，高約19.5公分，重約390公克，採用Android 5.0作業系統，內建高通（Qualcomm）4核心處理器，支援LTE和3G通訊功能和VoLTE通話功能，照相鏡頭800萬畫素，電池容量1700mAh，使用電池續航力可超過1天，充電時間需要155分鐘。RoBoHoN內裝3顆3軸加速度計、3顆3軸陀螺儀和3顆3軸地磁感測器以及1顆光感測元件。這款人型機器人手機售價約19.8萬日圓（約合新台幣5.91萬元），日本時間今天下午1點（台灣時間中午12點）起開始接受預購。鴻海和夏普2日下午在日本大阪(土界)市10代廠SDP（Sakai Display Product Corporation）完成簽約儀式，轟動台日以及全球的世紀投資案，終於開花結果。鴻海、鴻海開曼子公司FFE、鴻準新加坡子公司FTP、以及鴻海董事長郭台銘個人投資的SIO，以每股88日圓、共計投資2888.11億日圓，取得夏普增資發行普通股後66%股權，共計取得32.81億股。另外，鴻海以999.99億日圓策略性投資，取得夏普增資發行特別股1136萬3636股，可於2017年7月1日以1：100比例轉換為普通股，每股轉換價88日圓。共計鴻海集團與郭台銘個人投資取得夏普66%普通股股權，此次總投資金額約3888億日圓。
1336,鴻海新聞,4/15/2016 2:17,夏普機器人手機 要價5.8萬,"顛覆傳統智慧型手機外觀，鴻海投資的日本夏普（Sharp）昨（14）日宣布，5月將首度推出機器人智慧手機「RoBoHoN」，並於5月26日出貨，但是售價不菲，一支要價19.8萬日圓（約新台幣5.8萬元）。由於目前市面上並未有機器人手機問世，RoBoHoN推出後，預料將炒熱話題。 雖然現階段RoBoHoN並非由鴻海生產，但法人預估，它可望掀起相關智慧型手機的模仿效應，台灣包含微投影技術的揚明光、中光電，電池模組的新普、順達科，人臉辨識鏡頭如大立光、外觀塑膠沖壓件如谷崧等，可望隨之受惠。這款由夏普和知名教授兼機器人專家高橋智隆（Tomotaka Takahash）合作開發的機器人RoBoHoN，有著機器人的外表、公仔的身形，重點是有智慧型手機的各項功能。身高19.5公分、重390公克，背面附有2吋螢幕，採用Google Android 5.0作業系統，能處理通話、收發電子信箱、拍照片、錄影等基本功能。機器人額頭具備800萬畫素的相機，與HD畫質的投影機，等於能將拍攝的影片、相片投影在牆壁、桌子等。特別的是，RoBoHoN能接收主人簡單指令、達到雙向溝通，還會跳舞娛樂主人。分析師認為，RoBoHoN售價高達19.8萬日圓，等同於鴻海代工生產的軟銀人形機器人Pepper，雖然昂貴，仍難以扭轉夏普目前財務困境。RoBoHoN由夏普廣島工廠生產，對智慧型手機而言，是純正「Made in Japan」，市場上極為罕見，月產量僅5,000支。據了解，夏普對這台創新的手機機器人充滿信心，甚至規劃RoBoHoN在全球上市。目前也在尋求第三方開發者協助，包括開發相關的應用程式。"
1337,鴻海新聞,4/14/2016 13:23,夏普發表Robohon 是機器人也是智慧手機,"夏普（Sharp）宣布，人型智慧手機Robohon將在5月26日出貨，這款產品或許不會大賣，但有可能成為未來行動裝置的新樣貌。Robohon高8吋（20公分），採用Google的Android作業系統，能處理來電、電子郵件、照片、影片等基本功能。Robohon也能和人透過簡單的對話指令溝通，還會跳舞。內建投影機，採用夏普和美國Microvision開發的產品。分析師認為，售價19.8萬日圓（新台幣5萬8,000元左右）的機器人不至扭轉夏普目前財務困難的局面，但正展現鴻海董事長郭台銘所說他希望夏普能保有的「創新工程文化」。負責研發Robohon，也是知名的機器人發明人高橋智隆說：「我看至少最近幾年沒有其他消費產品能挑戰它。」"
1338,鴻海新聞,4/14/2016 19:21,夏普世界首款人型機器人手機 超萌,夏普（Sharp）今天宣布5月26日開始販售具備機器人功能的新手機RoBoHoN，今天下午起官網開放預購。有網友看到網站上RoBoHoN的廣告短片說，難怪鴻海郭董想收購夏普。RoBoHoN是夏普被鴻海收購後，首項推出的新商品，備受媒體注目。RoBoHoN標榜是世界第1台人型機器人手機，這是機器人創意家、Robo Garage執行長高橋智隆與夏普聯合開發，將機器人技術結合夏普的手機電話技術，希望將來能人手一支。RoBoHoN高度約19.5公分、重量約390公克，可放在口袋。今天傍晚日本電視台的資訊節目男主播就將放在胸前口袋的RoBoHoN掏出來秀給大家看。節目還報導，有設計師針對RoBoHoN設計耳朵、胸前的裝飾零件，將來可依顧客需求做變化。這款人型機器人手機雙腿能行走，搭載手機通訊功能（LTE/3G）與IEEE 802.11b/g/n的無線LAN，而且具有人工智慧（AI）功能，可通話、發電子郵件、照相、液晶面板觸控操作的功能。RoBoHoN每台售價約19萬8000日圓（約合新台幣5萬9000元），今天下午1時（台灣時間中午12時）起在官網接受預購。如果要購買使用，每個月還需付雲端服務契約費用。目前夏普預定月產5000台，正考慮將來也在海外販賣。
